 


Daily Data Between Two Dates
 ARCADIA (FL)
 USC00080228

Date,TMAX,TMIN,
1910-01-01,70,28,
1910-01-02,74,36,
1910-01-03,78,42,
1910-01-04,80,44,
1910-01-05,75,56,
1910-01-06,79,64,
1910-01-07,73,56,
1910-01-08,78,54,
1910-01-09,73,60,
1910-01-10,78,46,
1910-01-11,74,48,
1910-01-12,77,50,
1910-01-13,79,56,
1910-01-14,77,58,
1910-01-15,73,50,
1910-01-16,73,40,
1910-01-17,76,46,
1910-01-18,80,48,
1910-01-19,80,50,
1910-01-20,78,50,
1910-01-21,73,54,
1910-01-22,62,34,
1910-01-23,67,30,
1910-01-24,66,42,
1910-01-25,72,38,
1910-01-26,74,38,
1910-01-27,78,38,
1910-01-28,76,50,
1910-01-29,63,42,
1910-01-30,68,36,
1910-01-31,76,46,
1910-02-01,63,40,
1910-02-02,70,38,
1910-02-03,75,42,
1910-02-04,75,56,
1910-02-05,65,38,
1910-02-06,69,30,
1910-02-07,69,38,
1910-02-08,78,44,
1910-02-09,81,48,
1910-02-10,80,54,
1910-02-11,83,62,
1910-02-12,64,54,
1910-02-13,64,32,
1910-02-14,62,32,
1910-02-15,75,38,
1910-02-16,80,48,
1910-02-17,81,62,
1910-02-18,80,59,
1910-02-19,74,52,
1910-02-20,83,58,
1910-02-21,86,56,
1910-02-22,85,57,
1910-02-23,88,56,
1910-02-24,82,52,
1910-02-25,68,52,
1910-02-26,82,52,
1910-02-27,85,62,
1910-02-28,88,66,
1910-03-01,87,66,
1910-03-02,86,58,
1910-03-03,76,58,
1910-03-04,76,57,
1910-03-05,80,62,
1910-03-06,82,56,
1910-03-07,85,48,
1910-03-08,84,54,
1910-03-09,86,42,
1910-03-10,88,48,
1910-03-11,86,50,
1910-03-12,78,58,
1910-03-13,75,40,
1910-03-14,82,40,
1910-03-15,76,44,
1910-03-16,74,40,
1910-03-17,75,42,
1910-03-18,78,42,
1910-03-19,78,42,
1910-03-20,78,44,
1910-03-21,79,42,
1910-03-22,82,46,
1910-03-23,81,46,
1910-03-24,82,46,
1910-03-25,83,50,
1910-03-26,84,48,
1910-03-27,85,54,
1910-03-28,87,56,
1910-03-29,85,62,
1910-03-30,85,62,
1910-03-31,89,56,
1910-04-01,92,54,
1910-04-02,90,54,
1910-04-03,91,54,
1910-04-04,88,53,
1910-04-05,92,61,
1910-04-06,87,63,
1910-04-07,84,44,
1910-04-08,87,43,
1910-04-09,88,48,
1910-04-10,89,48,
1910-04-11,89,50,
1910-04-12,89,55,
1910-04-13,91,60,
1910-04-14,93,55,
1910-04-15,94,66,
1910-04-16,93,65,
1910-04-17,94,58,
1910-04-18,83,63,
1910-04-19,86,45,
1910-04-20,77,48,
1910-04-21,79,45,
1910-04-22,86,40,
1910-04-23,85,46,
1910-04-24,81,58,
1910-04-25,76,49,
1910-04-26,76,45,
1910-04-27,78,46,
1910-04-28,76,52,
1910-04-29,86,51,
1910-04-30,88,49,
1910-05-01,89,54,
1910-05-02,91,55,
1910-05-03,93,55,
1910-05-04,95,56,
1910-05-05,97,55,
1910-05-06,93,64,
1910-05-07,93,67,
1910-05-08,93,66,
1910-05-09,88,62,
1910-05-10,88,62,
1910-05-11,87,63,
1910-05-12,88,57,
1910-05-13,89,52,
1910-05-14,90,62,
1910-05-15,90,62,
1910-05-16,81,65,
1910-05-17,83,61,
1910-05-18,88,59,
1910-05-19,98,58,
1910-05-20,91,58,
1910-05-21,95,58,
1910-05-22,94,68,
1910-05-23,90,64,
1910-05-24,90,68,
1910-05-25,86,67,
1910-05-26,92,62,
1910-05-27,88,68,
1910-05-28,91,67,
1910-05-29,90,67,
1910-05-30,91,60,
1910-05-31,92,61,
1910-06-01,88,68,
1910-06-02,96,66,
1910-06-03,95,62,
1910-06-04,99,62,
1910-06-05,97,65,
1910-06-06,97,69,
1910-06-07,97,67,
1910-06-08,96,63,
1910-06-09,91,64,
1910-06-10,93,68,
1910-06-11,92,67,
1910-06-12,92,69,
1910-06-13,91,70,
1910-06-14,91,69,
1910-06-15,88,66,
1910-06-16,86,67,
1910-06-17,91,66,
1910-06-18,95,67,
1910-06-19,95,69,
1910-06-20,96,67,
1910-06-21,89,68,
1910-06-22,91,68,
1910-06-23,89,65,
1910-06-24,91,69,
1910-06-25,91,67,
1910-06-26,88,68,
1910-06-27,84,68,
1910-06-28,89,68,
1910-06-29,89,68,
1910-06-30,92,69,
1910-07-01,92,70,
1910-07-02,95,68,
1910-07-03,92,69,
1910-07-04,94,69,
1910-07-05,80,70,
1910-07-06,92,70,
1910-07-07,94,69,
1910-07-08,94,67,
1910-07-09,95,65,
1910-07-10,92,67,
1910-07-11,92,66,
1910-07-12,89,68,
1910-07-13,90,69,
1910-07-14,91,69,
1910-07-15,90,65,
1910-07-16,93,67,
1910-07-17,92,69,
1910-07-18,93,70,
1910-07-19,88,70,
1910-07-20,84,69,
1910-07-21,89,68,
1910-07-22,91,69,
1910-07-23,95,70,
1910-07-24,90,69,
1910-07-25,90,69,
1910-07-26,95,66,
1910-07-27,91,67,
1910-07-28,90,69,
1910-07-29,95,68,
1910-07-30,93,70,
1910-07-31,88,71,
1910-08-01,89,69,
1910-08-02,86,69,
1910-08-03,93,70,
1910-08-04,91,70,
1910-08-05,93,70,
1910-08-06,96,70,
1910-08-07,94,71,
1910-08-08,94,70,
1910-08-09,95,71,
1910-08-10,97,71,
1910-08-11,95,69,
1910-08-12,95,71,
1910-08-13,90,70,
1910-08-14,88,68,
1910-08-15,88,71,
1910-08-16,92,68,
1910-08-17,94,70,
1910-08-18,94,71,
1910-08-19,93,70,
1910-08-20,92,70,
1910-08-21,90,68,
1910-08-22,84,70,
1910-08-23,88,71,
1910-08-24,90,70,
1910-08-25,89,72,
1910-08-26,91,70,
1910-08-27,87,76,
1910-08-28,89,70,
1910-08-29,90,66,
1910-08-30,90,71,
1910-08-31,90,74,
1910-09-01,90,78,
1910-09-02,90,67,
1910-09-03,92,68,
1910-09-04,92,70,
1910-09-05,95,70,
1910-09-06,92,72,
1910-09-07,93,71,
1910-09-08,93,67,
1910-09-09,92,68,
1910-09-10,92,71,
1910-09-11,83,72,
1910-09-12,90,69,
1910-09-13,88,71,
1910-09-14,89,67,
1910-09-15,87,66,
1910-09-16,90,67,
1910-09-17,85,68,
1910-09-18,86,63,
1910-09-19,87,59,
1910-09-20,88,59,
1910-09-21,89,58,
1910-09-22,90,62,
1910-09-23,92,67,
1910-09-24,90,70,
1910-09-25,90,69,
1910-09-26,90,69,
1910-09-27,89,61,
1910-09-28,91,69,
1910-09-29,91,69,
1910-09-30,91,67,
1910-10-01,89,67,
1910-10-02,86,70,
1910-10-03,84,71,
1910-10-04,89,70,
1910-10-05,89,70,
1910-10-06,81,70,
1910-10-07,88,70,
1910-10-08,92,75,
1910-10-09,88,70,
1910-10-10,89,69,
1910-10-11,83,70,
1910-10-12,88,69,
1910-10-13,86,70,
1910-10-14,77,70,
1910-10-15,78,68,
1910-10-16,75,65,
1910-10-17,75,68,
1910-10-18,75,71,
1910-10-19,78,70,
1910-10-20,81,69,
1910-10-21,83,69,
1910-10-22,85,67,
1910-10-23,82,65,
1910-10-24,83,53,
1910-10-25,83,57,
1910-10-26,78,54,
1910-10-27,83,55,
1910-10-28,80,58,
1910-10-29,M,44,
1910-10-30,68,43,
1910-10-31,72,43,
1910-11-01,78,43,
1910-11-02,78,56,
1910-11-03,79,55,
1910-11-04,73,44,
1910-11-05,72,38,
1910-11-06,78,45,
1910-11-07,68,40,
1910-11-08,76,42,
1910-11-09,78,52,
1910-11-10,82,56,
1910-11-11,80,50,
1910-11-12,75,50,
1910-11-13,70,42,
1910-11-14,76,40,
1910-11-15,80,45,
1910-11-16,78,53,
1910-11-17,80,53,
1910-11-18,81,54,
1910-11-19,75,64,
1910-11-20,74,59,
1910-11-21,75,56,
1910-11-22,75,51,
1910-11-23,75,43,
1910-11-24,77,45,
1910-11-25,80,45,
1910-11-26,79,57,
1910-11-27,83,45,
1910-11-28,80,53,
1910-11-29,74,52,
1910-11-30,65,38,
1910-12-01,60,35,
1910-12-02,52,33,
1910-12-03,60,28,
1910-12-04,67,28,
1910-12-05,75,36,
1910-12-06,68,52,
1910-12-07,60,38,
1910-12-08,66,31,
1910-12-09,66,38,
1910-12-10,72,37,
1910-12-11,75,38,
1910-12-12,71,46,
1910-12-13,68,41,
1910-12-14,71,41,
1910-12-15,73,39,
1910-12-16,73,41,
1910-12-17,75,46,
1910-12-18,76,56,
1910-12-19,72,51,
1910-12-20,71,46,
1910-12-21,60,36,
1910-12-22,68,34,
1910-12-23,75,54,
1910-12-24,72,54,
1910-12-25,63,34,
1910-12-26,71,40,
1910-12-27,74,41,
1910-12-28,76,45,
1910-12-29,77,50,
1910-12-30,81,62,
1910-12-31,81,53,
1911-01-01,80,59,
1911-01-02,85,62,
1911-01-03,84,62,
1911-01-04,78,49,
1911-01-05,59,38,
1911-01-06,62,44,
1911-01-07,63,53,
1911-01-08,69,52,
1911-01-09,77,43,
1911-01-10,76,51,
1911-01-11,76,46,
1911-01-12,79,46,
1911-01-13,80,49,
1911-01-14,81,52,
